borough,yearbuilt,numfloors,bldgarea,lotarea,landuse,zonedist1,bldgclass,address,unitstotal,latitude,longitude
BK,1842.0,3.0,4902.0,2500.0,1.0,R6,A4,126 STATE STREET,1.0,40.6910016,-73.9952041
BK,2014.0,4.0,6534.0,3756.0,2.0,R6,R1,1044 42 STREET,4.0,40.6421527,-73.9938131
BK,1960.0,2.0,1248.0,1780.0,1.0,R5,A5,2114 NEPTUNE AVENUE,1.0,40.5782453,-73.9889088
BK,1945.0,2.0,1585.0,1520.0,1.0,R4,A5,4621 BEDFORD AVENUE,1.0,40.5888053,-73.9442111
BK,1989.0,3.0,11946.0,7546.0,2.0,R6,C9,2 COLUMBIA STREET,10.0,40.6779364,-74.0064246
BK,1925.0,2.0,1332.0,1817.0,1.0,R4,A5,1829 EAST 31 STREET,1.0,40.6102526,-73.9377175
BK,1945.0,2.0,2568.0,1717.0,1.0,R5,B3,1333 EAST 38 STREET,2.0,40.6217122,-73.9379481
BK,1901.0,3.0,3712.0,2233.0,2.0,R6,C0,280 HEWES STREET,3.0,40.7056331,-73.9540643
BK,1899.0,4.0,5417.0,2100.0,2.0,R6,R1,1091 ROGERS AVENUE,8.0,40.6434684,-73.9513722
BK,1931.0,3.0,5364.0,2500.0,2.0,R5,C2,1924 BAY RIDGE PARKWAY,6.0,40.611573,-73.993553
BK,1899.0,2.0,1620.0,1867.0,1.0,R5B,B1,78 FOUNTAIN AVENUE,2.0,40.678271,-73.8763966
BK,1925.0,2.5,3122.0,3867.0,1.0,R5,A1,8701 21 AVENUE,1.0,40.6010359,-73.9979834
BK,1931.0,3.0,3920.0,2202.0,4.0,C4-4A,S2,2259 CHURCH AVENUE,3.0,40.6507525,-73.956877
BK,1844.0,3.0,3200.0,1934.0,2.0,R6,C0,284 CLINTON STREET,3.0,40.687288,-73.9960877
BK,1875.0,3.0,2160.0,1250.0,1.0,R6B,B1,122 CAMBRIDGE PLACE,2.0,40.6835383,-73.9631295
BK,1912.0,4.0,14328.0,5000.0,2.0,R6B,C1,618 11 STREET,17.0,40.6636673,-73.9789246
