zonedist1,count,avg_floors,avg_bldgarea
R2,38635,1.9844030024589103,2047.433441180277
R2A,37424,1.821406316802052,1746.095633817871
R3-1,48138,2.0135597656736883,2021.1009805143547
R3-2,59448,2.13384386354461,2894.8528630063247
R3A,51825,2.0688133140376266,1778.3248625180897
R3X,49270,1.9588065760097422,2213.767464988837
R4,70935,2.0737050821174314,3398.6340875449355
R4-1,49613,2.0814345030536354,2211.178058170238
R4A,25083,2.1820615556352907,2343.3869553083764
R4B,15343,1.9693488887440527,1661.0537704490648
R5,87304,2.284449051589847,4370.731799230276
R5B,29920,2.225691176470588,3162.9610962566844
R6,64830,2.81220669443159,9524.50098722774
R6A,14379,3.1524535781347796,9097.449012242627
R6B,49459,2.7637319800238584,4297.574077444141
